"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\vite.config.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, -2, -12
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 22, 67
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Console\Kernel.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 6, 28
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Exceptions\Handler.php", "PHP", 0, 0, 17, 0, 0, 0, 9, 5, 31
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\AppointmentController.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 9, 31
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\ClinicController.php", "PHP", 0, 0, 81, 0, 0, 0, 0, 20, 101
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\CoachingController.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 18, 77
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\Controller.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\MessageController.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 11, 30
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\PlanController.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 14, 52
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\RDController.php", "PHP", 0, 0, 64, 0, 0, 0, 0, 12, 76
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\ResourceController.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 14, 66
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\ServiceController.php", "PHP", 0, 0, 72, 0, 0, 0, 0, 11, 83
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\TeamMemberController.php", "PHP", 0, 0, 104, 0, 0, 0, 0, 12, 116
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\TherapyController.php", "PHP", 0, 0, 90, 0, 0, 0, 0, 9, 99
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\TreatableController.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 10, 69
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\WorkshopController.php", "PHP", 0, 0, 63, 0, 0, 0, 0, 9, 72
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\adminController.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Controllers\guestController.php", "PHP", 0, 0, 109, 0, 0, 0, 0, 41, 150
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Kernel.php", "PHP", 0, 0, 40, 0, 0, 0, 21, 7, 68
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Livewire\AppointmentsFilter.php", "PHP", 0, 0, 56, 0, 0, 0, 0, 16, 72
"c:\Users\HP\Desktop\coding\goodthinkingpsychology\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 11, 0, 0, 0, 3, 4, 18
